CPU,Cores,Threads,Iteration,Time
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,141,3,34537952
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,141,4,34890639
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,141,5,35609473
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,142,1,35743194
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,142,2,35476268
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,142,3,35154113
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,142,4,33249566
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,142,5,35624842
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,143,1,38817433
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,143,2,34995545
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,143,3,36217536
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,143,4,34973983
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,143,5,36279991
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,144,1,42171279
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,144,2,35008828
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,144,3,34315716
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,144,4,35617141
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,144,5,34738273
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,145,1,36308568
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,145,2,35671635
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,145,3,34696688
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,145,4,36086800
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,145,5,34036930
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,146,1,38677141
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,146,2,35126046
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,146,3,34388953
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,146,4,33797547
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,146,5,34515576
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,147,1,35217437
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,147,2,33782327
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,147,3,35695110
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,147,4,35602691
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,147,5,35398475
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,148,1,36609598
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,148,2,33844775
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,148,3,35831554
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,148,4,34908706
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,148,5,34917588
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,149,1,36494978
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,149,2,34788076
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,149,3,34753338
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,149,4,35450202
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,149,5,36308592
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,150,1,36341675
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,150,2,36082962
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,150,3,35042846
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,150,4,35741764
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,150,5,36537541
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,151,1,38734008
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,151,2,34566022
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,151,3,36145109
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,151,4,35181830
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,151,5,34216803
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,152,1,35894946
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,152,2,36129465
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,152,3,35154014
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,152,4,35600849
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,152,5,35936682
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,153,1,37194312
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,153,2,36424410
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,153,3,35515773
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,153,4,35234029
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,153,5,35563258
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,154,1,38114066
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,154,2,35720295
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,154,3,35420836
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,154,4,35717169
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,154,5,34185799
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,155,1,37858817
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,155,2,35370547
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,155,3,36471277
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,155,4,36381402
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,155,5,35507885
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,156,1,37428689
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,156,2,35988170
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,156,3,34813108
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,156,4,33210620
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,156,5,35776074
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,157,1,36779288
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,157,2,32938078
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,157,3,35679450
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,157,4,35171512
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,157,5,35134767
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,158,1,38286543
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,158,2,35982377
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,158,3,35362504
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,158,4,35380307
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,158,5,35477817
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,159,1,38184835
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,159,2,34972701
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,159,3,35099371
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,159,4,35502076
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,159,5,35093616
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,160,1,38120320
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,160,2,35071854
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,160,3,37321967
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,160,4,34577920
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,160,5,34861240
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,161,1,47225825
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,161,2,35209946
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,161,3,34457290
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,161,4,35645635
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,161,5,34995408
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,162,1,39069706
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,162,2,35787545
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,162,3,35409808
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,162,4,35127460
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,162,5,35346389
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,163,1,37839104
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,163,2,35142835
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,163,3,35076373
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,163,4,35131163
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,163,5,35811604
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,164,1,38892674
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,164,2,34884725
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,164,3,35056786
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,164,4,35100631
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,164,5,35211353
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,165,1,41039214
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,165,2,35799300
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,165,3,34830686
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,165,4,35485888
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,165,5,30818543
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,166,1,40869933
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,166,2,35386414
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,166,3,35571102
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,166,4,35679185
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,166,5,36065090
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,167,1,39304106
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,167,2,36061865
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,167,3,34900421
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,167,4,35330527
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,167,5,35092451
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,168,1,39319726
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,168,2,35866190
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,168,3,36188097
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,168,4,35326761
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,168,5,33338687
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,169,1,38369587
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,169,2,35134273
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,169,3,35943565
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,169,4,34837655
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,169,5,35173571
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,170,1,37704081
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,170,2,35247307
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,170,3,34374565
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,170,4,35831143
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,170,5,35251745
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,171,1,40849756
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,171,2,35451845
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,171,3,35365768
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,171,4,35371573
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,171,5,35683306
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,172,1,38396070
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,172,2,35714790
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,172,3,36988184
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,172,4,31062175
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,172,5,37211041
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,173,1,36394421
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,173,2,34601766
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,173,3,37350537
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,173,4,36210742
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,173,5,34968040
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,174,1,36639145
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,174,2,34474820
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,174,3,35399405
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,174,4,34783515
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,174,5,35308187
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,175,1,38184283
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,175,2,36127098
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,175,3,36161322
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,175,4,35343591
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,175,5,35630176
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,176,1,37792168
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,176,2,35405542
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,176,3,35769501
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,176,4,35562329
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,176,5,34616470
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,177,1,38068358
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,177,2,35313253
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,177,3,34754263
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,177,4,34813799
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,177,5,36178631
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,178,1,36078489
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,178,2,34827005
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,178,3,35184648
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,178,4,35770848
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,178,5,35644450
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,179,1,37511155
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,179,2,35792888
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,179,3,35965126
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,179,4,35404296
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,179,5,34124800
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,180,1,35283265
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,180,2,35782402
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,180,3,34366969
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,180,4,34895813
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,180,5,35400738
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,181,1,35899360
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,181,2,37218734
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,181,3,34681399
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,181,4,35425619
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,181,5,36017544
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,182,1,36636253
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,182,2,35894093
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,182,3,35148417
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,182,4,35642686
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,182,5,34711027
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,183,1,36410841
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,183,2,35834915
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,183,3,35818790
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,183,4,35429952
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,183,5,34707072
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,184,1,36889342
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,184,2,35590428
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,184,3,36585587
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,184,4,33615373
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,184,5,36215726
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,185,1,36882285
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,185,2,36279251
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,185,3,34885242
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,185,4,34897818
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,185,5,35648547
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,186,1,35192471
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,186,2,35359276
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,186,3,36286489
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,186,4,36104379
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,186,5,36143029
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,187,1,36535947
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,187,2,35100258
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,187,3,35477723
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,187,4,35894369
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,187,5,36456961
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,188,1,34829577
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,188,2,35426575
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,188,3,35149073
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,188,4,35333754
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,188,5,35561080
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,189,1,35473792
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,189,2,35056183
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,189,3,34592005
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,189,4,35279982
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,189,5,35419576
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,190,1,34464122
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,190,2,34363721
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,190,3,35895054
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,190,4,34718896
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,190,5,35489129
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,191,1,35185708
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,191,2,36389541
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,191,3,35707839
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,191,4,35794041
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,191,5,36456900
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,192,1,35441424
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,192,2,35210600
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,192,3,36137181
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,192,4,36253921
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,192,5,35693840
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,193,1,35213629
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,193,2,36412797
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,193,3,34799588
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,193,4,34691185
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,193,5,35518423
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,194,1,35714911
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,194,2,35906195
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,194,3,34828425
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,194,4,35108694
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,194,5,36896621
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,195,1,35863912
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,195,2,34659764
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,195,3,33692998
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,195,4,35621685
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,195,5,36305373
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,196,1,35550633
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,196,2,35327550
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,196,3,35779966
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,196,4,36055557
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,196,5,36078289
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,197,1,35585866
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,197,2,34351842
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,197,3,35829409
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,197,4,36228147
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,197,5,35873036
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,198,1,35852957
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,198,2,35325716
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,198,3,35963392
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,198,4,35840586
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,198,5,34825337
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,199,1,35203679
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,199,2,31941747
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,199,3,35082847
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,199,4,35226035
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,199,5,35513234
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,200,1,31926098
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,200,2,35642723
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,200,3,36276069
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,200,4,34414908
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,16,200,5,35383896
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,1,1,453271850
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,1,2,411439621
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,1,3,442433822
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,1,4,422257038
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,1,5,404621429
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,2,1,336003992
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,2,2,237431465
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,2,3,367598490
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,2,4,213398526
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,2,5,210511463
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,3,1,265569245
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,3,2,226528244
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,3,3,257703107
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,3,4,232242860
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,3,5,218340187
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,4,1,249178159
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,4,2,190669357
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,4,3,191931740
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,4,4,186308126
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,4,5,196640498
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,5,1,261623321
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,5,2,235628088
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,5,3,267515800
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,5,4,255918063
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,5,5,235302942
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,6,1,249215176
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,6,2,213181050
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4,6,3,218497440
